===================>......] - ETA: 96s - loss: 0.4327 - acc: 0.8364 
 48/140 [=========>....................] - ETA: 344s - loss: 0.4458 - acc: 0.8304
 49/140 [=========>....................] - ETA: 342s - loss: 0.4431 - acc: 0.8320
 50/140 [=========>....................] - ETA: 339s - loss: 0.4444 - acc: 0.8319
 51/140 [=========>....................] - ETA: 337s - loss: 0.4415 - acc: 0.8330
 52/140 [==========>...................] - ETA: 333s - loss: 0.4404 - acc: 0.8335
 53/140 [==========>...................] - ETA: 330s - loss: 0.4365 - acc: 0.8361
 54/140 [==========>...................] - ETA: 326s - loss: 0.4388 - acc: 0.8354
 55/140 [==========>...................] - ETA: 322s - loss: 0.4382 - acc: 0.8361
 56/140 [===========>..................] - ETA: 320s - loss: 0.4374 - acc: 0.8359
 57/140 [===========>..................] - ETA: 316s - loss: 0.4354 - acc: 0.8372
 58/140 [===========>..................] - ETA: 312s - loss: 0.4339 - acc: 0.8378
 59/140 [===========>..................] - ETA: 308s - loss: 0.4367 - acc: 0.8361
 60/140 [===========>..................] - ETA: 305s - loss: 0.4371 - acc: 0.8349
 61/140 [============>.................] - ETA: 301s - loss: 0.4346 - acc: 0.8356
 62/140 [============>.................] - ETA: 298s - loss: 0.4341 - acc: 0.8359
 63/140 [============>.................] - ETA: 292s - loss: 0.4347 - acc: 0.8353
 64/140 [============>.................] - ETA: 288s - loss: 0.4345 - acc: 0.8352
 65/140 [============>.................] - ETA: 285s - loss: 0.4360 - acc: 0.8341
 66/140 [=============>................] - ETA: 282s - loss: 0.4361 - acc: 0.8343
 67/140 [=============>................] - ETA: 279s - loss: 0.4343 - acc: 0.8347
 68/140 [=============>................] - ETA: 275s - loss: 0.4369 - acc: 0.8341
 69/140 [=============>................] - ETA: 271s - loss: 0.4352 - acc: 0.8351
 70/140 [==============>...............] - ETA: 267s - loss: 0.4353 - acc: 0.8350
 71/140 [==============>...............] - ETA: 264s - loss: 0.4359 - acc: 0.8349
 72/140 [==============>...............] - ETA: 262s - loss: 0.4362 - acc: 0.8346
 73/140 [==============>...............] - ETA: 258s - loss: 0.4353 - acc: 0.8339
 74/140 [==============>...............] - ETA: 254s - loss: 0.4361 - acc: 0.8334
 75/140 [===============>..............] - ETA: 250s - loss: 0.4342 - acc: 0.8346
 76/140 [===============>..............] - ETA: 246s - loss: 0.4357 - acc: 0.8337
 77/140 [===============>..............] - ETA: 242s - loss: 0.4360 - acc: 0.8344
 78/140 [===============>..............] - ETA: 238s - loss: 0.4343 - acc: 0.8355
 79/140 [===============>..............] - ETA: 234s - loss: 0.4339 - acc: 0.8356
 80/140 [================>.............] - ETA: 230s - loss: 0.4322 - acc: 0.8363
 81/140 [================>.............] - ETA: 226s - loss: 0.4303 - acc: 0.8366
 82/140 [================>.............] - ETA: 222s - loss: 0.4298 - acc: 0.8365
 83/140 [================>.............] - ETA: 218s - loss: 0.4271 - acc: 0.8377
 84/140 [=================>............] - ETA: 215s - loss: 0.4256 - acc: 0.8380
